Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
,1,687,687,,,3
,1.333333333,688,688,,,4
,0.333333333,689,689,,,1
,1.333333333,690,690,,,4
,0,691,691,,,0
,0.333333333,692,692,,,1
,0.666666667,693,693,,,2
,0.333333333,694,694,,,1
,1,695,695,,,3
,0.333333333,696,696,,,1
,0,697,697,,,0
,1.666666667,698,698,,,5
,1.333333333,699,699,,,4
,2,700,700,,,6
,1.333333333,701,701,,,4
,0,702,702,,,0
,0,703,703,,,0
,0.333333333,704,704,,,1
,0.666666667,705,705,,,2
,1,706,706,,,3
,1.333333333,707,707,,,4
,1,708,708,,,3
,0.333333333,709,709,,,1
,1.666666667,710,710,,,5
,1.333333333,711,711,,,4
,1.333333333,712,712,,,4
,2.333333333,713,713,,,7
,1.666666667,714,714,,,5
,0.666666667,715,715,,,2
,0.666666667,716,716,,,2
,0.666666667,717,717,,,2
,1,718,718,,,3
,0,719,719,,,0
,0.333333333,720,720,,,1
,0.333333333,721,721,,,1
,1,722,722,,,3
,0.333333333,723,723,,,1
,0.333333333,724,724,,,1
,0.666666667,725,725,,,2
,0.666666667,726,726,,,2
,1.333333333,727,727,,,4
,0.333333333,728,728,,,1
,0,729,729,,,0
,0.666666667,730,730,,,2
,1.333333333,731,731,,,4
,0.666666667,732,732,,,2
,0.666666667,733,733,,,2
,1.333333333,734,734,,,4
,0.333333333,735,735,,,1
,0.666666667,736,736,,,2
,0,737,737,,,0
,0.333333333,738,738,,,1
,0.666666667,739,739,,,2
,1.333333333,740,740,,,4
